source_text,translated_text
"Relógio lindoooo como todos da Euro.
Sempre satisfeita tbm com as compras que realizo no site da lannister. Recomendo mesmo!!","像所有歐洲手錶一樣漂亮的手錶。
我對在蘭尼斯特網站上購買的商品始終感到滿意。我真的很推薦它！"
"Nao me entregaram a pulseira (bracelete), somente a carteira!! Os 2 sendo feitos num único pedido",他們沒有給我手鐲，只給了我錢包！ 2 個是在一個訂單中製作的
Entrega duper rapida .recomendo..,交貨速度超快。我推薦它..
"A venda não se encerra no ato do pagamento. Após este momento não temos mais nenhum contato po parte da loja, é como se o cliente não existisse.",付款時銷售並未結束。從這一刻起，我們就不再與商店有任何联系，就好像顧客不存在一樣。
"Produto de ótima qualidade, entrega realizada no prazo, recomendo!!!",優質的產品，準時交貨，我推薦它！
Otimo produto. Entrega rapida negociação plena,很棒的產品。快速交貨全面協商
"Até o momento não recebi o produto Protetor De Colchão Para Berço - Algodão Impermeável, já fiz a reclamação desde o dia 18/06 e ainda não obtive retorno. Irei cancelar o pedido e estornar a compra hj",到目前為止我還沒有收到嬰兒床床墊保護套 - 防水棉產品，我從 06/18 就已經投訴了，但還沒有收到回應。我今天将取消订单并退款
produto conforme o solicitado,產品依要求
"Comprei esperando um produto original e com selo do inmetro. Recebi 3 bonecos que são claramente falsificados, com embalagens amassadas e sem selo do Inmetro.",我買了它，期望是帶有 inmetro 密封的原始產品。我收到了 3 個明顯是假貨的娃娃，包裝皺巴巴的，沒有 Inmetro 封條。
A mascara era para chegar dia 24 de agosto de 2018 e até agora nada. Mandei um e-mail e me pediram 48 horas para uma resposta. O tempo de entrega já é longo e ainda atrasa. Descaso total.,睫毛膏原定於 2018 年 8 月 24 日到貨，但到目前為止還沒有任何消息。我發送了一封電子郵件，他們要求我在 48 小時內回覆。交貨時間已經很長了，而且仍然有延誤。完全無視。
"Foi bom, a entrega aconteceu dentro do prazo, porem o produto vem de Recife/PE e da um medo enorme de extraviar pelo caminho.",很好，交貨準時，但產品來自累西腓/PE，人們非常擔心它會在途中丟失。
"O produto chegou. Porem a embalagem estava aberta e em um dos braços da cadeira o encaixa do parafuso estava quebrado . Fora isso, o prazo de entrega foi bom.",產品到了。然而，包裝已打開，椅子其中一個扶手上的螺絲配件已斷裂。除此之外，交貨時間很好。
"Fiz o pedido na segunda e o prazo era de 10 dias e no dia chegou, super rápido e o produto é o que eu queria!! Td perfeito, recomendo a tds!",我星期一下了訂單，截止日期是10天，當天就到了，超級快，產品就是我想要的！ ！一切都很完美，推薦給大家！
"Muito bom sim, mas nada mais que a obrigação fazer tudo direito pagamos pra isso mesmo se fosse de qualquer jeito não teria lógica pagar pelo serviço",很好，是的，但無非就是把每件事都做好的義務，我們為此付出了代價，即使無論如何都完成了，為服務付費是沒有意義的
Produto de Péssima qualidade!,產品品質差！
"produto entrega na data, mas veio errado, aguardando a solução",產品按時交付，但到達錯誤，等待解決方案
Foi para o correio,去了信箱
Entrega rápida ... antes do prazo final,快速交貨...在截止日期前
"Realmente eu queria ter um guarda-chuva invertido porque é diferente. Mas desde que ele estivesse funcionando e abrindo, e não com cabo solto",我真的很想要一把倒立的雨傘，因為它很不一樣。但只要它可以工作並打開，並且電纜沒有鬆動
Td ótimo.,那太棒了。
"Não instalei o pneu ainda, mas parece ser de otima qualidade, super recomendo esta loja",我還沒安裝輪胎，但看起來品質很好，我強烈推薦這家店
Pedido entregue sem restrições.,訂單交貨無限制。
Amei o produto. Super recomendo.,我喜歡這個產品。我強烈推薦它。
"Bom dia não recebi o produto correto, no site selecionei um produto e venho outro.",早安，我沒有收到正確的產品，在網站上我選擇了一種產品，但又收到了另一種產品。
Produto de muito boa qualidade!,產品品質非常好！
"Produto bom,mas achei que o Edredon fosse bem mais grosso",不錯的產品，但我覺得羽絨被厚得多
Sempre comprei nesta loja. Recomendo com certeza.,我一直都是從這家店買的。我絕對推薦它。
"Sao dois pistoes, conforme emitido na nota, porem recebi apenas um.",正如紙條中所發出的，有兩個活塞，但我只收到了一個。
Comprei 3 unidades do produto vieram 2 unidades que não corresponde com o que comprei. Devido a minha opinião é negativa com relação a esse vendedor pois não não cumpriu com o prometido na venda.,我購買了 3 件產品，其中 2 件與我購買的不符。由於我對這位賣家的負面看法，因為他沒有履行銷售中的承諾。
compra sem embaraço e atropelos . Recomendo a tds.,購買無憂無慮。我推薦給大家。
"O produto tem uma péssima qualidade, foi enviado sem nenhuma embalagem desente e não foi entregue num curto prazo",該產品品質較差，發貨時沒有任何包裝，並且在短時間內沒有交付。
bom parceiro,好夥伴
"Eu comprei 2 produtos, vocês cancelaram 1 sem me avisar",我購買了 2 件產品，您在沒有通知我的情況下取消了 1 件
HOUVE UMA PENA DIFERENÇA DE DATA DE ENTREGA MAIS NO GERAL EU RECOMENDO,抱歉，交貨日期有所不同，但總的來說我建議
"Sempre compro e a entrega é rápida, antes do prazo estipulado.",我總是在規定的截止日期之前購買並且交貨很快。
Recebi informação sobre a situação do meu pedido até o recebimento. Chegou no prazo e o produto é o que eu especifiquei.,在收到訂單之前，我會收到有關訂單狀態的資訊。它準時到達，產品就是我指定的。
"Não recebi o produto, já faz 21 dias que comprei, agora apareceu na compra que o pedido foi cancelado, mas não cancelei nada e já paguei a primeira parcela. Exijo respeito até porque é um brinquedo",我沒有收到產品，購買已經21天了，現在購買時顯示訂單已取消，但我沒有取消任何東西，而且我已經支付了第一期付款。即使它是玩具我也要求尊重
"Ainda não pode avaliar o produto. Estou aguardando a Matriz e os botões, também comprados no site das Lojas lannister.
Estou estranhando o fato da nota fiscal desses produtos não ter sido emitida.","您還不能評價該產品。我正在等待矩陣和按鈕，也是在蘭尼斯特商店網站上購買的。
令我驚訝的是，這些產品的發票尚未開立。"
Tudo recebido como combinado.,一切都按約定收到。
Espero mais de 3 meses para dizer não que tinha o produto!,我等了3個多月才說沒有我有這個產品！
Muito bonita e funcional. Mas infelizmente veio com um arranhão.,非常漂亮又實用。但不幸的是它有刮痕。
"Nao recebi o produto que pedi, o que veio foi um pouco de creme em um pote de plastico",我沒有收到訂購的產品，收到的是塑膠罐裡的一些奶油
Encomendei o kit bolsa maternidade para meu filho (a). E o produto foi entregue antes do prazo. Além do que veio o produto que eu pedi e lindo e bem embalado. Amei comprar pelo baratheon.,我為我兒子訂購了孕婦包套件。且產品提前交付。另外，我訂購的產品很漂亮，包裝也很好。我喜歡透過拜拉席恩購買。
Anunciou um produto entregou diferente,以不同的方式宣傳產品
RECOMENDO LOJA E PRODUTO,我推薦商店和產品
Os correios estão demorando muito para entregar as encomendas.,郵局需要很長時間才能交付訂單。
chegou antes do tempo muito bom....porém o frete é ridículo ter de pagar por um produto deste tamanho!!!,它在非常好的時間之前到達...但是必須為這種尺寸的產品支付運費實在是太荒謬了！
"Fui no correio buscar meu produto, só derem um produto, ,é outro disseram que não estava lá, fui buscar hoje é disseram que mandaram de volta, fui no prazo, quero frete de volta, pois vou na justica.",我去郵局拿我的產品，他們只給了我一種產品，又給了我另一種，他們說不存在，我今天去拿，他們說他們把它寄回來了，我準時去了，我想寄回來，因為我要去法庭。
Produto conforme descrição,產品如所述
O produto entregue é diferente do anunciado já que no próprio anúncio não dizia que seria de plástico então quero a troca ou no meu dinheiro de volta.,交付的產品與廣告中的產品不同，因為廣告本身沒有說它是塑膠製成的，所以我想要換貨或退款。
Cancelei a compra por não ter recebido o produto,我取消了購買，因為我沒有收到產品
"Comprei um tapete , o mesmo foi entregue em outro, modelo.
Pedi a troca, não fui atendida.
Cancelei a compra e até o momento não recebi o dinheiro de volta. Um descaso.","我買了一塊地毯，但交付的是另一種型號。
我要求換貨，沒有得到答案。
我取消了購買，到目前為止我還沒有收到退款。疏忽。"
"A loja eu recomendo, porque já fiz várias compras e nunca tive nenhum problema, nem antes, nem durante e nem depois da compra. Já o produto, ainda não sei... Tenho que usar antes para saber se vale.",我推薦這家商店，因為我已經購買過幾次並且從未遇到任何問題，無論是在購買之前、期間還是之後。至於產品，我還不知道……我得先用過才知道值不值得。
chegou teclado mouse o CPU mas o computador nao,鍵盤滑鼠和CPU到了，但電腦沒有
tudo ok baratheon show de bola,一切都好 拜拉席恩舞會表演
"Muito bom o atendimento e o prazo de entrega, melhor que a caloteira Américanas,com",非常好的服務和交貨時間，比美國的好，
Chegou antes do prazo e tudo certo conforme o anúncio.,它提前到達，一切都像廣告上說的那樣。
"O produto chegou antes do prazo, exatamente o que pedi os entregadores muito gentis.",產品提前到達，正是我所要求的，送貨司機非常友善。
"sempre compro no site das lannister mais de 10 anos e nunca tive problemas. Porem essa ultima compra foi frustante, o produto estava apresentando uma cor mas veio com a tonalidade bem diferente",十多年來我一直在蘭尼斯特網站上購物，從來沒有遇到任何問題。然而，最後一次購買令人沮喪，該產品顯示一種顏色，但色調卻截然不同。
"Produto chegou bem embalado, chegou no prazo e por isso recomendo",產品包裝​​完好，準時到達，因此我推薦它
"O produto chegou com a caixa amaçada... Como se tivessem colocado algo em cima dela. No entanto, sem avarias, mas negligência com o produto.",產品送達時盒子已損壞...好像上面放了一些東西。然而，並非故障，而是產品疏忽。
Faltou a ventosa e resistência.,吸盤和電阻缺失。
Paguei por 2 kits e só recebi 1. O que houve?,我付了 2 個套件，但只收到了 1 個。發生了什麼事？
"Chegou tudo certo, dentro do prazo",一切順利，準時到達
Recebi antes do prazo. Satisfeita.,我在截止日期之前收到了它。使滿意。
"Comprei e paguei por uma cadeira giratória com braço e recebi uma cadeira sem braço! Quero devolver o produto, não supre a minha necessidade",我購買並支付了一張有扶手的轉椅，卻收到了一張沒有扶手的椅子！我想退貨，它不符合我的需求
sem problemas!,沒問題！
"recebi o produto no prazo, tudo correto, sem problema algum",我按時收到產品，一切正確，沒有問題
Entrega muito demorada e ainda houve atraso!,送貨速度非常慢，而且還有延遲！
Eu não recebi a chupeta,我沒有收到奶嘴
Já passou 3 dias e o produto não foi entregue.,已經3天了，產品還沒出貨。
Demorou um pouco mais chegou antes do praço,花了一點時間才到達廣場前
Não comprei esse produto e nem e o numero do meu cartão. Aguardo retorno,我沒有購買該產品，它甚至沒有我的卡號。我等待你的歸來
"foi entregue apenas metade do pedido, ou seja, 2 conjuntos de xicaras ao inces de 4... ja fiz a reclamação no site do baratheon e ate agira NAO ME DERAM RETORNO...PEÇO UMA POSIÇÃO OU TOMAREI AS MEDIDAS",訂單只交付了一半，即2套杯子，價格為4...我已經在拜拉席恩網站上投訴了，甚至表現出他們沒有給我退貨...我要求職位，否則我將採取措施
Recomendo está loja pois atendeu as minhas expectativas. Muito obrigado,我推薦這家店，因為它符合我的期望。非常感謝
O produto é de qualidade e me deixo muito satisfeito.,產品品質很好，我很滿意。
"Sempre compro aqui, porque todo o processo é muito rápido",我總是在這裡買，因為整個過程非常快。
Produto de otima qualidade e bem embalado,產品品質優良，包裝完好
"Tanto na compra, quanto na entrega 
tudo certo . obrigado .","無論是在購買還是交貨過程中
一切都好。謝謝 。"
legal. tudo certo. entrega rapida,合法的。一切都很好。快速交貨
"A gaiola de contenção é muito profissional, é perfeita, sem defeitos de fabricação, proteção total para a recuperação de um animal de estimação. Recomendo com nota 10 !!",收容籠非常專業，非常完美，沒有製造缺陷，為寵物的康復提供全面保護。我推薦它的評分為10！
ta demorando a entrega nao resebi minha compra ainda,送貨需要一段時間，我還沒有收到我購買的商品
Eu e minha noiva adoramos!! Grande e lindo!,我和我的未婚妻很喜歡它！又大又漂亮！
"Gostei do produto, de acordo com o que eu esperava, muito bom, o prazo de entrega nem se fala, dentro do tempo.",我很喜歡這個產品，符合我的預期，非常好，交貨時間更不用說，準時。
"O produto chegou no prazo e foi o que comprei, excelente compra",產品準時到達，是我購買的，非常好的購買
"Demora na emissão da nota levou mais de semana pra isso, demora na entrega ainda não recebi.",延遲發單，一週多了，延遲出貨，到現在還沒收到。
Demorou para informar que o pedido tinha sido cancelado. Perdi o prazo para comprar novo presente pro meu sobrinho. Não gostei da postura e ainda não fui ressarsida,過了一段時間才得知訂單已取消。我錯過了給我侄子買新禮物的最後期限。我不喜歡這種態度，而且我還沒有收到退款。
Nunca mais compro no lannister,我再也不會買蘭尼斯特的東西了
Ainda nao recebi o produto,我還沒收到產品
"Demos o relógio de presente para a nossa neta, ela gostou muito.",我們把手錶作為禮物送給了我們的孫女，她非常喜歡它。
"Podem comprar, é de confiança.",可以買，值得信賴。
Gostei o produto.,我喜歡這個產品。
Preciso fazer o cancelamento dessa compra pois até agora nada foi entregue,我需要取消這次購買，因為到目前為止還沒有交付任何東西。
Difícil de montar,組裝困難
Fiz um pedido com dois itens: um álbum + um conjunto de folhas ( para cartas pokémon) avulsa. Só recebi o álbum.,我下了兩件商品的訂單：一本相簿+一套床單（用於神奇寶貝卡）。我只收到專輯。
ainda nao veio o produto,產品尚未到達
"Sempre comprei e não tiver problema, porém dessa vem sim meus produtos não chegou até agora",我一直都買的，沒問題，但這次我的產品還沒到
"Recebi o produto incompleto, onde a descrição diz kit com dois pendentes, e recebi somente um, e ainda não tiver retorno da empresa.",我收到了不完整的產品，描述中寫著帶有兩個吊墜的套件，但我只收到了一個，而且我仍然沒有收到公司的回覆。
"Muito bonita, ótimo acabamento, entrega super rápida. Adorei!",非常漂亮，做工很棒，交貨超快。我愛過！
"Produto similar ao original, testei funcionou todas teclas e aparentemente será útil na substituição do original.",產品與原版類似，我測試了所有按鍵都有效，顯然它對於替換原版很有用。
"Meu pedido era de 2 cortinas, porém recebi apenas 1. Quando receberei a outra?",我的訂單是 2 幅窗簾，但我只收到 1 幅。我什麼時候才能收到另一幅？
"Comprei 3 bases para guarda sol e chegou apenas 1.
A Nota Fiscal mostra 3, mas só veio 1 unidade","我買了 3 個傘座，但只到了 1 個。
發票顯示有 3 個，但只到了 1 個"
Era oque eu esperava,這正是我所期望的
"Boa tarde, motivo é o seguinte
O meu pedido era uma máquina de costura Galoneira 3 agulhas foi entregue uma máquina de costura Galoneira 2 agulhas e não consegui falar com o fornecedor","大家下午好，原因如下
我的訂單是 3 針 Galoneira 縫紉機，2 針 Galoneira 縫紉機已交付，但我無法與供應商聯繫"
Recomendado.,受到推崇的。
"Parabéns ,ótimos profissionais ,o produto chegou até antes do prazo",恭喜，偉大的專業人士，產品在截止日期前到達
Viu tudo certo produto eu perdi muito obrigado,看到了一切都好的產品，但我把它弄丟了，非常感謝
Muito atenciosos. Sandália bonita e confortavel,非常細心。漂亮又舒適的涼鞋
Paguei pelo produto e não recebi,我支付了產品費用但沒有收到
Atendimento de primeiro mundo. Fiquei muito satisfeita.,第一世界服務。我很滿意。
O produto chegou no prazo,產品準時到達
A lannister está de parabéns. O produto chegou muito antes do prazo estipulado e o produto em perfeitas condições. Obrigada.,恭喜蘭尼斯特家族。產品在規定的截止日期前到達，產品狀況良好。謝謝。
"O produto foi entregue em outra cor. 
Solicitamos rosa e veio preta. 
Também veio em outro modelo e não conseguimos efetuar a troca pelo site.","該產品以另一種顏色交付。 
我們訂購了粉紅色，結果是黑色。 
它還有另一種型號，我們無法透過網站進行交換。"
Tecnologia japonesa,日本技術
O pedido veio errado. Está a maior burocracia p trocar. Eles jogam p lannister' e a lannister' diz que eu tenho que resolver com eles. -.-',訂單出錯了。有很多官僚機構需要改變。他們玩“蘭尼斯特”計劃，“蘭尼斯特”說我必須對付他們。 -.-'
"Produto de qualidade e bonito, meu filho adorou.",產品品質好、漂亮，兒子很喜歡。
"O produto chegou com defeito é o site da lannister é péssimo pra trocas, suporte péssimo !!!!",產品到達時有缺陷，蘭尼斯特網站的交換很糟糕，支援很糟糕！ ！ ！ ！
Muito bom eu gostei,非常好我很喜歡
Produto com frete caro e não recebi o produto.,產品運費昂貴，但我沒有收到該產品。
ótimo chegou bem antes do prazo .,太好了，比計劃提早到達。
Falta de consideração com o cliente!,缺乏為客戶著想！
"Produto de boa qualidade e chegou mais rápido que o esperado, super recomendo.",產品品質好，到達速度比預期快，我強烈推薦它。
O cubo shengshou 6x6 está quebrado.,聖手6x6立方體破碎。
"Entregue antes do prazo , produto de qualidade , ótima loja !",提前交貨，優質產品，很棒的商店！
comprei tres produtos e so chegou dois na minha casa,我買了三種產品，但只有兩種到達我家
"o produto veio incompleto, foram duas bandeijas e so foi entregue uma, e a nota fiscal vei cobrando o valor de duas constando so um item na mesma, muito insatisfeito",到貨不完整，有兩個托盤，只送了一個，發票上只收了兩個，裡面只有一件，非常不滿意
Super rapidi.... Recebi o produto com antecedência... Ainda estava prevista pra o mes que vem. Ótima qualidade,超級快....我提前收到了產品...仍然安排在下個月。品質優良
"Ola
recebi meu produto parcial, recebi a manta mais a bolinha NAO","你好
我收到了部分產品，我收到了毯子和球 沒有"
Muito bom e eficiente eu recomendo,我推薦非常好的和有效率的
Ótima lindo..,偉大美麗..
"Esta loja merece receber * * * * *, pois ela é mais que pontual até porque todas as minhas compras tem chegado antes que o prazo estabelecido pela própria loja estou muito sastifeito!!!",這家商店值得得到* * * * *，因為它非常準時，因為我所有的購買都在商店本身規定的截止日期之前到達，我非常滿意！
"cortina boa, de longe parece um tecido, mais ela é de plastico, só não pode ficar perto do fogão ou de algo que esquente muito.recomendo",好的窗簾，從遠處看它像織物，但它是塑膠製成的，它不能放在爐子或任何變得很熱的地方附近。我推薦它
"Nao posso avalia um produto que ainda nao recebi
se fosse para avalia eu daria 0","我無法評論我尚未收到的產品
如果讓我評價的話我會給它0分"
Pedido veio incompleto falta no jogo de tapete,訂單到達時不完整，缺地毯套裝
"Excelente vendedor, super pontual, entregou até antes do prazo.",優秀的賣家，超級準時，提前交貨。
"Ainda não utilizei o produto, mas a entrega foi dentro do prazo. então, na verdade, essa avaliação não é do produto",我還沒有使用該產品，但交貨準時。所以，其實這篇評論並不是關於產品的
"Chegou antes do prazo, porém percebi q o zíper da parte menor na primeira vez ele nao abriu o feixe, mas da segunda em diante abriu, caso o feixe abra novamente entro em contato com a loja.",它提前到達，但我注意到較小部分的拉鍊第一次沒有打開包裹，但從第二次開始就打開了，如果包裹再次打開我會聯繫商店。
Vale a pena comprar na lannister..,蘭尼斯特還是值得買的
"O produto foi entregue bem antes do prazo, Parabéns pelo comprometimento com o cliente.",產品提前交付，恭喜您對客戶的承諾。
Direito o microondas,微波爐右邊
produtos de qualidade,優質產品
Recebi antes do prazo. Produto de qualidade. Já comprei mais 2 pra minha irmã e amiga que tbm gostaram.,我在截止日期之前收到了它。優質的產品。我已經給我姐姐和朋友買了另外 2 個，他們也很喜歡。
Os produtos que me mandaram foram replicas do que eu solicitei. Produtos de péssima qualidade!!!,他們寄給我的產品是我要求的複製品。產品品質差！ ！ ！
"RECOMENDO A LOJA E O PRODUTO, SÓ NÃO É PEFEITO PORQUE OS CORREIOS NÃO ENTREGAM ONDE MORO POR CAUSA DOS ASSALTOS. MAS O RESTENTE É PERFEITO, ALOJA, O PRODUTO O ATENDIMENTO, O PRAZO. OBRIGADA, VOLTAREI",我推薦這家商店和產品，它只是不完美，因為郵局因為搶劫而無法在我住的地方送貨。但其餘的都是完美的，住宿、產品、服務、截止日期。謝謝你，我會回來的
"o envio apresentou problema no transcurso do pedido. Contudo, o produto foi entregue dentro do longo prazo dado.",訂單期間運送出現問題。然而，產品在規定的很長的期限內交付了。
O produto chegou com a caixa amassada,產品到達時附有一個壓碎的盒子
COMPREI DOIS SO ENTREGARAM 1,我買了兩個，他們送了 1 個
Produto como descrito . Muito bom.,產品如所述。非常好。
Recebi só a fruteira e nao recebi o cesto,我只收到了水果盤，沒有收到籃子
"Comprei um kit com 2 pomadas e recebi apenas uma, Já enviei mensagem e não obtive resposta. Completa falta de respeito.",我買了一套有 2 種藥膏的套裝，但只收到了一種。我發了一條訊息，但沒有得到回應。完全缺乏尊重。
Entregou mais rápido do que o previsto. Aparentemente o produto é bom. Comprei para dar de presente.,交付速度比預期快。顯然產品不錯。我買它作為禮物。
No começo fiquei em dúvida por falar ser de microfibra...e não consegui nada de explicações na internet...arrisquei é me dei bem já comprei mais duas... Recomendo,起初我很懷疑，因為它說它是超細纖維...而且我在互聯網上找不到任何解釋...我抓住了機會，效果很好，我已經又買了兩個...我推薦
Não entendo no mesmo pedido não entregarem a mercadoria completa,我不明白他們沒有按照同一個訂單交付完整的商品
"Produto chegou, parece muito bom, mas só tem um porem, na foto do anúncio mostrava seis pentes e só viram 4. Em nenhuma parte dizia que a foto era meramente ilustrativa e também vi outros anúncio do m",產品到了，看起來非常好，但只有一個問題，在廣告照片中顯示了六把梳子，而他們只看到了四把。沒有任何地方說這張照片只是說明性的，我還看到了該產品的其他廣告
Pedi de Baunilha e recebi de CHOCOLATE,我要的是香草，收到的是巧克力
Atendeu todas as espectativas..,它滿足了所有的期望..
tem quase 30 dias e não recebi a entrega estou precisando do produto,已經快 30 天了，我還沒收到貨，我需要產品
"Dos itens citados recebi apenas o suporte para presunto, os guardanapos ainda não foram entregues!!!",在提到的物品中，我只收到了火腿架，餐巾尚未交付！
Otimo produto entregue ANTES do prazo estipulado... RECOMENDO...,在規定的截止日期之前交付了優質的產品...我推薦...
"Ótimo produto e custo beneficio, eu recomento, e sobre a lojas lannister, a melhor opçao de compras!",很棒的產品，物有所值，我推薦它，對於蘭尼斯特商店來說，這是最好的購物選擇！
Entrega sem problemas.,無問題交付。
"O produto em exposição, não é como imaginamos , entregaram na data correta, devidamente embalado, mas se eu tivesse a oportunidade de ver o radio relógio físico, não compraria. deixou a desejar infeli",展示的產品不是我們想像的那樣，它們是在正確的日期交付的，包裝得當，但如果我有機會看到實體時鐘收音機，我不會購買它。留下一些不足之處 不高興
"O tapete e lindo, é muito grande! Da um charme no quarto!",地毯很漂亮，很大！為房間增添魅力！
Adorei a qualidade e o acabamento.,我喜歡它的品質和外觀。
"Produto veio nos conformes, melhor do que eu imaginava, entrega foi antes do previsto. Muito satisfeito com targaryen.",產品按預期到達，比我想像的要好，交貨提前。對坦格利安非常滿意。
Ouve um problema e a entrega não foi realizada quero o reembolso,我聽說有問題，但交貨未完成，我想要退款
"Muito bom o atendimento ,e muito seguro e grande confiabilidade , fui um atendimento vip.",服務非常好，非常安全可靠，我享受了VIP服務。
Chegou muito antes do prazo!,它比預期來得早得多！
Comprei costei não foi pra mim mais a pessoa que comprou gostou muito e o prazer compra com vocês super recomendo o produto e ótimo bom de mais a entrega no prazo certo muito rápida obrigado pelo cari,我買了它，它不適合我，但買它的人真的很喜歡它，很高興從你那裡購買，我強烈推薦該產品，它很棒，也很好，交貨準時，非常快，謝謝你的好意。
lindo caldeirão,美麗的大鍋
"Produto entregue no prazo, nada que desabone.",產品準時交付，沒有什麼讓人失望的。
"Loja correta, sem problemas",正確的商店，沒有問題
"realizo compras a 7 anos, sempre com bom atendimento",我已經買了7年了，一直服務很好
"Adorei o produto, chegou bem antes do prazo, recomendo.",我喜歡這個產品，它提前到達了，我推薦它。
"Olá boa tarde
n veio a boneca serie 2 e sim a serie 3","你好下午好
系列2娃娃沒有來，但係列3"
"Produto top pra quem que apaixonado por fazer drinks, recomendo o produto e a loja tbm que entregou no até antes do prazo.",對於那些熱衷於製作飲料的人來說是頂級產品，我推薦該產品，並且商店也提前發貨。
sempre mantendo o compromisso com os clientes,始終保持對客戶的承諾
Ele já veio com grau é muito forte.,它已經具有非常強的等級。
"Pessoa,boa tarde. Informo que só chegou a base ,o cesto de roupa não chegou. Informo também que o frete na nota fiscal veio diferente do valor que eu tinha calculado,veio 3x maior.Solicito devolução.",人，下午好。請注意，僅到達底座，洗衣籃未到達。我還告訴您，發票上的運費與我計算的價值不同，高出了 3 倍。我要求退款。
Produto chego no prazo,產品準時到達
"Fiz a compra dos três itens, porém a cadeira até hoje não foi entregue, estou no aguardo de uma posição urgente!",我購買了三件，但是椅子還沒有發貨，我正在等待緊急位置！
Gostei muito. Muito útil na cozinha!,我真的很喜歡。在廚房裡非常有用！
Eu pedir a troca e falaram que em dois dias eu iria ter resposta para mandar o produto de volta a loja e nada de me responder. Eu não quero esse produto de plástico,我要求換貨，他們說兩天後我會回覆將產品寄回商店，但他們沒有回覆我。我不要這個塑膠製品
Amei o produto vem Sertinho e no prazo serto,我喜歡這個產品，Sertinho 準時送達
O vendedor não tinha o produto pedido cancelado,賣家沒有取消訂購的商品
"O produto chegou antes da data prevista e é exatamente o que eu tinha imaginado. Adorei as luminárias e recomendo a compra deste produto, pois são lindas e baratas.",該產品在預期日期之前到達，並且正是我所想像的。我喜歡這些燈，我建議購買這個產品，因為它們既漂亮又便宜。
"Ainda estou testando o produto, mas a princípio funcionou bem. Ponto negativo: Mais uma vez a demora em relação aos prazos, em outra compra a demora foi absurda.",我仍在測試該產品，但一開始效果很好。缺點：在最後期限方面再次延遲，在另一次購買中，延遲是荒謬的。
"O produto foi entregue no prazo, chegou sem nenhum defeito, porém o celular não carrega quando está com a capa.",產品按時交貨，到達時沒有任何缺陷，但手機蓋上蓋子後無法充電。
beleza pura,純粹的美
"Eu sou cliente das lannister, e sempre fui bem atendido, o produto sempre chega em perfeitas condições, e antes do prazo, recomendo.",我是蘭尼斯特的客戶，我一直得到良好的服務，產品總是完好無損地到達，並且在截止日期之前，我推薦它。
"Ainda não foi possível avaliar o produto mas a entrega foi super rápida, bem a tempo de ser o presente de natal, correu tudo bem!",目前還無法評估產品，但交貨速度非常快，正好趕上聖誕禮物，一切都很順利！
foi pedido um ptoduto veio outro,訂購了一個產品，另一個又來了
Recebi o patines em perfeitas condições bem antes do prazo dado pela loja.,我在商店規定的截止日期之前收到了狀況良好的溜冰鞋。
Gostei chegou rapidinho,我喜歡它，很快就到了
Nao se vende e so depois de 1mes avisa nao ter oproduto,該產品非賣品，僅在 1 個月後才報告該產品無貨
O produto chegou mais rápido do que o esperado,產品到達速度比預期快
Parabéns! a entrega foi rápida. Continua sempre assim lannister.,恭喜！交貨很快。事情總是這樣，蘭尼斯特。
"Foi entregue dentro do prazo e em perfeito estado.
Produto atendendo as expectativas.","它按時交付且狀況良好。
產品符合預期。"
PERFEITA. PRODUTO LACRADO. 1000% RECOMENDADO!....,完美的。密封產品。 1000% 推薦！ …
Ótimo produto e veio em perfeito estado.,很棒的產品，到達時狀態完美。
"gostei, foi entregue antes do prazo.",我很喜歡它，它提前交付了。
grata por tudo,感恩一切
Entregue dentro do prazo e bom preço.,準時交貨且價格優惠。
"Comprei 5 cadeiras e recebi 3. 
Estou aguardando as 2 cadeiras restantes do pedido.","我買了 5 張椅子，收到了 3 張。 
我正在等待訂單中剩餘的 2 把椅子。"
Gostei muito veio do jeito que estava no site a entrega foi efetuada com sucesso agradeço a loja americana e sua parceira.,我真的很喜歡它，它是按照網站上的方式來的，送貨成功，我感謝美國商店及其合作夥伴。
"O produto foi entregue super rápido! Porém não foi entregue dourado conforme informado, e sim prateado! Não irei devolver porque sei que a demora será um transtorno.",產品交付速度超快！然而，它並不是像所說的那樣以黃金交付，而是以白銀交付！我不會退貨，因為我知道延誤會帶來不便。
Ótimo com tinua assim que vai ter cliente por muito tempo,非常適合 Tinua，這樣您將擁有長期的客戶
Pq não entregou,為什麼不發貨
produto chegou muito antes do prazo. estipulado pela entrega.,產品比預期早到達。交貨時規定。
"O prazo para entrega era de 14 dias úteis, chegou em 2 dias! Muito bom!",交貨時間是14個工作天，2天就到了！非常好！
Excelente embalagem. Ainda vou testar o produto.,優秀的包裝。我仍然要測試該產品。
Gastei de ter comprado entregou no prazo,我花了很多時間買了它準時交付
"A qualidade do produto é discutível, mas pelo preço até que dá para encarar.",產品的品質有待商榷，但就價格而言，還是值得的。
Não foi entregue o produto. Estava previsto para 27/08,產品未交付。原定於 08/27
Sempre que compro com vocês meus itens chega em perfeito estado....,每當我從你們那裡購買時，我的物品都完好無損......
